time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
11943.0,"(255.44651377416557, 469.2477312199883)","(340.6769941705613, 259.84909948372655)","(1140.5072230213127, 307.7913569021463)","(1082.27283921078, 266.21635216080574)","(574.8181778020927, 326.75225086881943)","(1345.4128823250453, 803.5512276052044)","(460.88565349492126, 504.22309858741437)","(829.9563274309849, 597.1367478848985)","(884.3329981450826, 396.6031482930852)","(1090.5014454490474, 931.7553782188309)"
11944.0,"(255.28928120529474, 469.36649256388836)","(340.5229979730986, 259.6521599722845)","(1140.3057929000113, 307.9394308911938)","(1082.0809535869064, 266.3766016767197)","(574.8926984042491, 326.9908859036619)","(1345.5573440052692, 803.755263932722)","(461.1285286120148, 504.1638391789056)","(830.0298186186174, 596.8977938195629)","(884.5829744433926, 396.6065907171193)","(1090.4239382218022, 931.8516013277367)"
11945.0,"(255.13283479926827, 469.4846601010689)","(340.3690017756359, 259.45522046084244)","(1140.1043627787096, 308.08750488024134)","(1081.8890679630329, 266.53685119263366)","(574.9672190064056, 327.2295209385043)","(1345.7018056854934, 803.9593002602395)","(461.37140372910835, 504.10457977039687)","(830.1033098062499, 596.6588397542274)","(884.8329507417026, 396.6100331411534)","(1090.3468185306933, 931.9473433210981)"
11946.0,"(254.97717062527192, 469.60223680056356)","(340.21500557817325, 259.2582809494004)","(1139.9029326574082, 308.2355788692889)","(1081.6971823391593, 266.6971007085476)","(575.041739608562, 327.46815597334677)","(1345.8462673657173, 804.163336587757)","(461.6142788462019, 504.0453203618881)","(830.1768009938824, 596.4198856888919)","(885.0829270400126, 396.61347556518746)","(1090.27008443804, 932.0426066044926)"
11947.0,"(254.82228477214557, 469.7192256165607)","(340.0610093807106, 259.06134143795833)","(1139.7015025361065, 308.3836528583364)","(1081.5052967152858, 266.8573502244616)","(575.1162602107185, 327.7067910081892)","(1345.9907290459414, 804.3673729152746)","(461.85715396329545, 503.98606095337936)","(830.2502921815149, 596.1809316235564)","(885.3329033383226, 396.6169179892216)","(1090.1937340158497, 932.13739357147)"
11948.0,"(254.66817334828482, 469.83562948847793)","(339.9070131832479, 258.8644019265163)","(1139.500072414805, 308.53172684738394)","(1081.3134110914123, 267.01759974037554)","(575.1907808128749, 327.94542604303166)","(1346.1351907261653, 804.5714092427921)","(462.100029080389, 503.9268015448706)","(830.3237833691473, 595.9419775582209)","(885.5828796366326, 396.62036041325564)","(1090.1177653457705, 932.2317066036127)"
11949.0,"(254.5148324815434, 469.9514513410355)","(339.7530169857852, 258.6674624150742)","(1139.2986422935035, 308.67980083643147)","(1081.1215254675387, 267.1778492562895)","(575.2653014150313, 328.1840610778741)","(1346.2796524063895, 804.7754455703097)","(462.34290419748254, 503.86754213636186)","(830.3972745567798, 595.7030234928853)","(885.8328559349426, 396.62380283728976)","(1090.0421765190417, 932.3255480705947)"
11950.0,"(254.3622583191357, 470.0666940843303)","(339.59902078832255, 258.4705229036322)","(1139.097212172202, 308.827874825479)","(1080.9296398436652, 267.33809877220347)","(575.3398220171878, 328.42269611271655)","(1346.4241140866134, 804.9794818978272)","(462.5857793145761, 503.8082827278531)","(830.4707657444123, 595.4640694275498)","(886.0828322332526, 396.6272452613238)","(1089.9669656364465, 932.4189203302417)"
11951.0,"(254.21044702754, 470.1813606139087)","(339.4450245908599, 258.2735833921901)","(1138.8957820509004, 308.97594881452653)","(1080.7377542197917, 267.4983482881174)","(575.4143426193442, 328.661331147559)","(1346.5685757668375, 805.1835182253448)","(462.82865443166963, 503.74902331934436)","(830.5442569320448, 595.2251153622143)","(886.3328085315626, 396.63068768535794)","(1089.8921308082643, 932.5118257285905)"
11952.0,"(254.0593947924023, 470.29545381083915)","(339.2910283933972, 258.07664388074807)","(1138.6943519295987, 309.12402280357406)","(1080.5458685959181, 267.6585978040314)","(575.4888632215007, 328.89996618240144)","(1346.7130374470614, 805.3875545528623)","(463.0715295487632, 503.6897639108356)","(830.6177481196773, 594.9861612968788)","(886.5827848298726, 396.634130109392)","(1089.817670154223, 932.6042665999476)"
