time,position 0,position 1,position 2
86.0,"(659.5434534935159, 765.5805560203688)","(262.681320936354, 733.4607307249047)","(347.47670229040364, 249.4077324778147)"
87.0,"(659.7934493360947, 765.5791142529354)","(262.86979227193586, 733.6249822261581)","(347.62839440740186, 249.20901282191576)"
88.0,"(660.0434451786734, 765.5776724855019)","(263.05826360751774, 733.7892337274114)","(347.7800865244001, 249.01029316601682)"
89.0,"(660.2934410212522, 765.5762307180685)","(263.2467349430996, 733.9534852286648)","(347.9317786413983, 248.81157351011788)"
90.0,"(660.543436863831, 765.574788950635)","(263.4352062786815, 734.1177367299182)","(348.0834707583965, 248.61285385421894)"
91.0,"(660.7934327064097, 765.5733471832016)","(263.62367761426344, 734.2819882311716)","(348.23516287539474, 248.41413419832)"
92.0,"(661.0434285489885, 765.5719054157681)","(263.8121489498454, 734.4462397324249)","(348.38685499239295, 248.21541454242106)"
93.0,"(661.2934243915672, 765.5704636483347)","(264.0006202854273, 734.6104912336783)","(348.5385471093912, 248.01669488652212)"
94.0,"(661.543420234146, 765.5690218809012)","(264.18909162100925, 734.7747427349317)","(348.6902392263894, 247.81797523062318)"
95.0,"(661.7934160767247, 765.5675801134678)","(264.3775629565912, 734.9389942361851)","(348.8419313433876, 247.61925557472424)"
96.0,"(662.0434119193035, 765.5661383460343)","(264.56603429217313, 735.1032457374384)","(348.99362346038583, 247.4205359188253)"
97.0,"(662.2934077618822, 765.5646965786009)","(264.75450562775507, 735.2674972386918)","(349.14531557738405, 247.22181626292635)"
98.0,"(662.543403604461, 765.5632548111674)","(264.942976963337, 735.4317487399452)","(349.2970076943823, 247.0230966070274)"
99.0,"(662.7933994470397, 765.561813043734)","(265.13144829891894, 735.5960002411986)","(349.4486998113805, 246.82437695112847)"
100.0,"(663.0433952896185, 765.5603712763005)","(265.3199196345009, 735.7602517424519)","(349.6003919283787, 246.62565729522953)"
101.0,"(663.2933911321973, 765.5589295088671)","(265.5083909700828, 735.9245032437053)","(349.75208404537693, 246.4269376393306)"
102.0,"(663.543386974776, 765.5574877414336)","(265.69686230566475, 736.0887547449587)","(349.90377616237515, 246.22821798343165)"
103.0,"(663.7933828173548, 765.5560459740002)","(265.8853336412467, 736.2530062462121)","(350.0554682793734, 246.0294983275327)"
104.0,"(664.0433786599335, 765.5546042065668)","(266.0738049768286, 736.4172577474654)","(350.2071603963716, 245.83077867163377)"
