time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1042.0,"(234.2476562427772, 212.1069054765817)","(1217.6200508657917, 353.3260823784298)","(1127.4162803110298, 466.86682148636754)","(1116.3829310430228, 119.52474874596214)","(230.9114257192803, 758.8577615988804)","(988.6783341120566, 895.7994289679926)","(266.3066972416185, 277.3966087626884)","(778.7423167329275, 335.3456692191339)","(44.39929872285552, 183.41141130601704)","(1249.4169920819581, 425.75632250721264)"
1043.0,"(234.46846120371376, 212.22414527027735)","(1217.4020576675034, 353.4484709624564)","(1127.1774406963912, 466.9406837803969)","(1116.2176823510288, 119.33715111859365)","(230.9768685906839, 758.828472790886)","(988.7299424414964, 895.8254318231527)","(266.5460298400169, 277.4688576889356)","(778.614286144118, 335.5603973456779)","(44.493769456315334, 183.64287465196963)","(1249.5663393419193, 425.9568104019647)"
1044.0,"(234.68926616465032, 212.341385063973)","(1217.1840644692152, 353.57085954648295)","(1126.9386010817525, 467.0145460744263)","(1116.052433659035, 119.14955349122516)","(231.04198424773048, 758.7993304269316)","(988.7812927292889, 895.851304664037)","(266.7853624384153, 277.54110661518285)","(778.4862555553084, 335.77512547222193)","(44.58824018977515, 183.87433799792223)","(1249.7156866018804, 426.1572982967167)"
1045.0,"(234.91007112558688, 212.45862485766867)","(1216.966071270927, 353.6932481305095)","(1126.6997614671138, 467.08840836845565)","(1115.8871849670409, 118.96195586385667)","(231.10677432649183, 758.770333774797)","(988.8323862656424, 895.8770481407169)","(267.0246950368137, 277.6133555414301)","(778.3582249664988, 335.98985359876593)","(44.682710923234964, 184.10580134387482)","(1249.8650338618415, 426.35778619146873)"
1046.0,"(235.13087608652344, 212.57586465136433)","(1216.7480780726387, 353.8156367145361)","(1126.4609218524752, 467.162270662485)","(1115.721936275047, 118.77435823648818)","(231.17124045485937, 758.741482105923)","(988.8832243343141, 895.9026629000133)","(267.2640276352121, 277.6856044676773)","(778.2301943776893, 336.20458172530994)","(44.77718165669478, 184.3372646898274)","(1250.0143811218027, 426.55827408622076)"
1047.0,"(235.35168104746, 212.69310444506)","(1216.5300848743505, 353.93802529856265)","(1126.2220822378365, 467.2361329565144)","(1115.556687583053, 118.5867606091197)","(231.23538425258508, 758.7127746953934)","(988.9338082126426, 895.9281495855132)","(267.50336023361047, 277.7578533939245)","(778.1021637888797, 336.41930985185394)","(44.871652390154594, 184.56872803578)","(1250.1637283817638, 426.7587619809728)"
1048.0,"(235.57248600839657, 212.81034423875565)","(1216.3120916760622, 354.0604138825892)","(1125.9832426231978, 467.30999525054375)","(1115.3914388910591, 118.3991629817512)","(231.29920733132215, 758.6842108219164)","(988.9841391715794, 895.9535088375857)","(267.74269283200886, 277.83010232017176)","(777.9741332000701, 336.63403797839794)","(44.96612312361441, 184.8001913817326)","(1250.313075641725, 426.9592498757248)"
1049.0,"(235.79329096933313, 212.9275840324513)","(1216.094098477774, 354.1828024666158)","(1125.7444030085592, 467.3838575445731)","(1115.226190199065, 118.21156535438271)","(231.36271129466553, 758.6557897678068)","(989.0342184757214, 895.9787412933978)","(267.98202543040725, 277.902351246419)","(777.8461026112606, 336.84876610494194)","(45.060593857074224, 185.03165472768518)","(1250.462422901686, 427.15973777047685)"
1050.0,"(236.0140959302697, 213.04482382614697)","(1215.8761052794857, 354.30519105064235)","(1125.5055633939205, 467.4577198386025)","(1115.0609415070712, 118.02396772701422)","(231.4258977381922, 758.6275108189678)","(989.0840473833429, 896.0038475869308)","(268.22135802880564, 277.9746001726662)","(777.718072022451, 337.06349423148595)","(45.15506459053404, 185.26311807363777)","(1250.6117701616472, 427.3602256652289)"
1051.0,"(236.23490089120625, 213.16206361984263)","(1215.6581120811975, 354.4275796346689)","(1125.2667237792818, 467.53158213263185)","(1114.8956928150772, 117.83637009964573)","(231.48876824950122, 758.599373264873)","(989.1336271464262, 896.0288283489961)","(268.46069062720403, 278.04684909891347)","(777.5900414336414, 337.27822235802995)","(45.249535323993854, 185.49458141959036)","(1250.7611174216083, 427.5607135599809)"
1052.0,"(236.4557058521428, 213.2793034135383)","(1215.4401188829092, 354.5499682186955)","(1125.0278841646432, 467.6054444266612)","(1114.7304441230833, 117.64877247227724)","(231.55132440825372, 758.5713763985486)","(989.182959010694, 896.0536842072511)","(268.7000232256024, 278.11909802516067)","(777.4620108448319, 337.49295048457395)","(45.34400605745367, 185.72604476554295)","(1250.9104646815695, 427.76120145473294)"
1053.0,"(236.67651081307937, 213.39654320723395)","(1215.222125684621, 354.67235680272205)","(1124.7890445500045, 467.6793067206906)","(1114.5651954310893, 117.46117484490875)","(231.61356778621246, 758.5435195165559)","(989.2320442156406, 896.0784157862148)","(268.9393558240008, 278.1913469514079)","(777.3339802560223, 337.70767861111796)","(45.438476790913484, 185.95750811149554)","(1251.0598119415306, 427.96168934948497)"
1054.0,"(236.89731577401594, 213.5137830009296)","(1215.0041324863328, 354.7947453867486)","(1124.5502049353659, 467.75316901471996)","(1114.3999467390954, 117.27357721754026)","(231.6754999472814, 758.5158019189731)","(989.2808839945624, 896.1030237072837)","(269.1786884223992, 278.2635958776551)","(777.2059496672127, 337.92240673766196)","(45.5329475243733, 186.18897145744813)","(1251.2091592014917, 428.162177244237)"
1055.0,"(237.1181207349525, 213.63102279462527)","(1214.7861392880445, 354.9171339707752)","(1124.3113653207272, 467.8270313087493)","(1114.2346980471013, 117.08597959017177)","(231.73712244754498, 758.4882229093782)","(989.3294795745895, 896.1275085887472)","(269.4180210207976, 278.3358448039024)","(777.0779190784032, 338.13713486420596)","(45.627418257833114, 186.42043480340072)","(1251.3585064614529, 428.36266513898903)"
